LAT,LONG,HUMANNAME,COUNT
16.2833,-97.8167,"Jamiltepec, Oaxaca, Mexico",11
26.3337,-98.2003,"Hidalgo County, Texas, United States",11
21.2,-86.7167,"Isla Mujeres, Quintana Roo, Mexico",10
17.1,-93.8583,"Luis Echeverria, Chiapas, Mexico",10
18.9833,-100.333,"El Grande, Méco, Mexico",10
23.7333,-103.533,"Emiliano Zapata, Zacatecas, Mexico",10
24.3833,-106.05,"Ciudad, Durango, Mexico",10
38.2167,-92.4335,"Miller County, Missouri, United States",10
53.4771,38.0354,"Yalta, Tul'skaya Oblast', Russia",10
47.5362,-99.793,"North Dakota, United States",10
26.8833,-111.983,"Mulege, Baja California, Mexico",10
41.3833,2.18333,"Barcelona, Comunidad Autonoma de Cataluna, Spain",10
19.6469,-99.2467,"Cuautitlan Izcalli, Méco, Mexico",10
19.4889,-90.6833,"La Joya, Campeche, Mexico",10
27.9475,-82.4584,"Tampa, Florida, United States",10
28.6667,77.2167,"Delhi, Delhi, India",10
21.3167,-89.4,"San Bruno, YucatáMX, Mexico",10
47.2529,-122.444,"Tacoma, Washington, United States",10
18.2833,-100.267,"Arcelia, Guerrero, Mexico",10
20.8,-103.317,"El Mexicano, Jalisco, Mexico",10
13.65,-87.6333,"Agua Zarca, Valle, Honduras",10
46.1956,6.14811,"Geneva, Genè, Switzerland",10
32.5553,-117.129,"Tijuana River, California, United States",10
34.3667,-118.201,"Los Angeles County, California, United States",10
21.1431,-101.023,"Palmilla, Guanajuato, Mexico",10
17.7667,-92.6,"Macuspana, Tabasco, Mexico",10
17.2,-100.733,"Nuxco, Guerrero, Mexico",10
43.5147,-6.09813,"Los Cabos, Asturias, Spain",9
20.275,-98.9,"El Rincon, Hidalgo, Mexico",9
26.7153,-80.0534,"West Palm Beach, Florida, United States",9
23.3833,-102.4,"Alvarados, Zacatecas, Mexico",9
18.45,-95.5333,"Cocina, Veracruz-Llave, Mexico",9
15.8833,-96.9167,"Santa Maria Colotepec, Oaxaca, Mexico",9
32.6401,-117.084,"Chula Vista, California, United States",9
18.575,-100.433,"Palos Verdes, Méco, Mexico",9
27.3667,-105.2,"Las Virginias, Chihuahua, Mexico",9
35.3666,-120.534,"San Luis Obispo County, California, United States",9
24.0333,-104.983,"San Carlos, Durango, Mexico",9
29.65,-108.383,"El Norte, Chihuahua, Mexico",9
35.75,51.5148,"Tehran, Tehran, Iran",9
18.8667,-99.9167,"Almoloya De Alquisiras, Méco, Mexico",9
33.5,-112.501,"Maricopa County, Arizona, United States",9
18.6833,-100.083,"Goleta, Méco, Mexico",9
33.0334,-116.801,"San Diego County, California, United States",9
26.5625,-100.688,"Los Fresnos, Nuevo LeóX, Mexico",9
25.55,-99.9333,"Hacienda Santa Fe, Nuevo LeóX, Mexico",9
26.0923,-97.9572,"Progreso, Texas, United States",9
29.4252,-98.4858,"The Alamo, Texas, United States",9
25.3833,-98.3333,"Camarillo, Tamaulipas, Mexico",9
26.247,-98.4814,"La Joya, Texas, United States",9
21.8667,-102.317,"La Huerta, Aguascalientes, Mexico",9
23.6,-101.25,"Los Muertos, San Luis PotosíX, Mexico",9
32.45,-116.467,"Ruidoso, Baja California, Mexico",8
32.25,-114.5,"Sonoran Desert, Mexico (general), Mexico",8
32.4631,-114.777,"San Luis Rio Colorado, Sonora, Mexico",8
30.4507,-91.1545,"Baton Rouge, Louisiana, United States",8
16.75,-93.1167,"Tuxtla, Chiapas, Mexico",8
23.5,-103.083,"La Plaza, Zacatecas, Mexico",8
44.9429,-123.035,"Salem, Oregon, United States",8
20.9167,-100.75,"San Miguel De Allende, Guanajuato, Mexico",8
23.9167,-106.375,"La Vuelta, Sinaloa, Mexico",8
27.9167,-110.6,"Chiltepin, Sonora, Mexico",8
42.3314,-83.0458,"Detroit, Michigan, United States",8
19.1833,-102.85,"Tepalcatepec, Michoacáde Ocampo, Mexico",8
33.9137,-98.4934,"Wichita Falls, Texas, United States",8
19.6833,-101.95,"Cheran, Michoacáde Ocampo, Mexico",8
16.1167,-89.2333,"Juventud, PetéGT, Guatemala",8
39.9612,-82.9988,"Columbus, Ohio, United States",8
40.4276,-79.9939,"Allentown, Pennsylvania, United States",8
21.9667,-102.433,"San Isidro, Aguascalientes, Mexico",8
31.05,-108.067,"Apaches, Chihuahua, Mexico",8
37.2153,-93.2982,"Springfield, Missouri, United States",8
33.749,-84.388,"Atlanta, Georgia, United States",8
30.2285,-88.0231,"Fort Morgan, Alabama, United States",8
16.45,120.55,"Philippine, Benguet, Philippines",8
27.367,-81.3498,"Highlands County, Florida, United States",8
21.3069,-157.858,"Honolulu, Hawaii, United States",8
22.6833,-103.667,"Las Casas, Zacatecas, Mexico",8
14.5269,-90.5875,"Villanueva, Guatemala, Guatemala",8
-22.9,-43.2333,"Rio De Janeiro, Estado do Rio, Brazil",8
17.9833,-94.5167,"Minatitlan, Veracruz-Llave, Mexico",8
29.8336,-95.4002,"Harris County, Texas, United States",8
37.6166,-122.386,"San Francisco International Airport, California, United States",8
36.175,-115.137,"Las Vegas, Nevada, United States",8
34.4667,-119.018,"Ventura County, California, United States",8
24.6708,-107.689,"Rosa Maria, Sinaloa, Mexico",8
28.05,-106.7,"La Reina, Chihuahua, Mexico",8
31.1241,-97.9031,"Copperas Cove, Texas, United States",8
33.7322,-118.323,"Friendship Park, California, United States",8
19.4889,-99.1836,"Azcapotzalco, Distrito Federal, Mexico",8
17.85,-92.8417,"El Dorado, Tabasco, Mexico",8
34.1469,73.2145,"Abbottabad, North-West Frontier, Pakistan",8
14.8,-89.55,"Chiquimula, Chiquimula, Guatemala",8
40.7608,-111.891,"Salt Lake City, Utah, United States",8
21.1,-97.8667,"Las Mesillas, Veracruz-Llave, Mexico",7
39.7684,-86.158,"Indianapolis, Indiana, United States",7
22.85,-105.8,"Escuinapa, Sinaloa, Mexico",7
15.65,-89,"Fronteras, Izabal, Guatemala",7
16.2833,-95.8833,"Santa Maria Ecatepec, Durango, Mexico",7
19.1581,-99.4897,"Almoloya, Méco, Mexico",7
-23.5333,-46.6167,"Sao Paulo, SãPaulo, Brazil",7
27.3333,-106.167,"El Pollo, Chihuahua, Mexico",7
18.1667,-100.55,"Santa Rosa De Lima, Guerrero, Mexico",7
19.3333,-96.3,"La Antigua, Veracruz-Llave, Mexico",7
28.3667,-100.317,"Rancho, Coahuila de Zaragoza, Mexico",7
35.8881,-106.307,"Los Alamos, New Mexico, United States",7
21.05,-105.15,"Juan Sanchez, Nayarit, Mexico",7
15.5833,-87.8833,"Monterey, Departamento de Cortes, Honduras",7
39.4667,-87.4139,"Terre Haute, Indiana, United States",7
42.0083,-91.6441,"Cedar Rapids, Iowa, United States",7
37.6391,-120.997,"Modesto, California, United States",7
32.0667,34.7667,"Tel Aviv, Tel Aviv, Israel",7
24.1828,-106.973,"Baila, Sinaloa, Mexico",7
18.2766,-66.335,"Puerto Rico, United States",7
20.7,-101.1,"Maria Gomez, Guanajuato, Mexico",7
31.5333,35.1,"Hebron, Israel (general), Israel",7
18.85,-99.2333,"Temixco, Morelos, Mexico",7
29.1167,-101.833,"El Indio, Coahuila de Zaragoza, Mexico",7
15.7667,-92.2667,"Chicomuselo, Chiapas, Mexico",7
26.567,-81.8831,"Lee County, Florida, United States",7
41.7859,-88.1473,"Naperville, Illinois, United States",7
19.25,-96.8833,"Tenampa, Veracruz-Llave, Mexico",7
48.15,11.5833,"Munich, Bayern, Germany",7
-0.216667,-78.5,"Quito, Pichincha, Ecuador",7
40.2259,-90.7632,"Brooklyn, Illinois, United States",7
18.0667,-88.55,"Orange Walk, Orange Walk, Belize",7
-33.9167,18.4167,"Cape Town, Western Cape, South Africa",7
19.7333,-99.2333,"La Teja, Méco, Mexico",7
23.7,-102.333,"La Margarita, Zacatecas, Mexico",7
24.0833,-99.1167,"El Barretal, Tamaulipas, Mexico",7
28.7833,-111.6,"Poza Rica, Sonora, Mexico",7
42.6833,23.3167,"Sofia, Sofiya-Grad, Bulgaria",7
21.0233,-100.137,"La Silla, Guanajuato, Mexico",7
17.0333,-95.6,"Acatlan, Oaxaca, Mexico",7
31.4167,34.3333,"Gaza, Israel (general), Israel",7
16.5167,-95.9333,"Juan Garcia, Oaxaca, Mexico",7
30.65,-106.717,"Miguel Angel, Chihuahua, Mexico",7
18.5333,-99.55,"Juliantla, Guerrero, Mexico",7
36.7856,-108.687,"Shiprock, New Mexico, United States",7
16.5781,-95.1014,"Ixtepec, Oaxaca, Mexico",7
14.3,-88.6167,"Potrero, Lempira, Honduras",6
35.2271,-80.8431,"Charlotte, North Carolina, United States",6
36.0003,-114.876,"Clark County, Nevada, United States",6
19.1667,-96.3,"Cabo Verde, Veracruz-Llave, Mexico",6
30.3167,-106.233,"El Diablo, Chihuahua, Mexico",6
21.9,-100.017,"San Marcos, San Luis PotosíX, Mexico",6
52.35,4.91667,"Amsterdam, Noord-Holland, Netherlands",6
25.2522,55.28,"Dubai, Dubayy, United Arab Emirates",6
40.1811,44.5136,"Yerevan, Yerevan*, Armenia",6
19.2,-98.9,"Los Reyes, Méco, Mexico",6
24.6408,46.7728,"Riyadh, Ar Riya?, Saudi Arabia",6
25.45,-105.883,"Pajaritos, Durango, Mexico",6
38.0685,-78.8895,"Waynesboro, Virginia, United States",6
23.1667,-102.883,"Fresnillo, Zacatecas, Mexico",6
46.7762,-123.51,"Brooklyn, Washington, United States",6
33.4148,-111.909,"Tempe, Arizona, United States",6
14.5667,-88.1167,"Centro, IntibucáO, Honduras",6
14.85,-87.7667,"Corinto, Departamento de Comayagua, Honduras",6
38.0731,-120.552,"City Of Angels, California, United States",6
45.2506,-69.9162,"Somerset County, Maine, United States",6
-24.8662,152.348,"Bundaberg, Queensland, Australia",6
